date,yield_10y,yield_30y
2024-09-05,2.1338,2.3125
2024-09-06,2.1388,2.309
2024-09-09,2.1267,2.29
2024-09-10,2.1143,2.267
2024-09-11,2.1044,2.263
2024-09-12,2.0998,2.2471
2024-09-13,2.0724,2.2176
2024-09-14,2.0425,2.183
2024-09-18,2.0403,2.165
2024-09-19,2.045,2.17
2024-09-20,2.0431,2.15
2024-09-23,2.0381,2.14
2024-09-24,2.0728,2.19
2024-09-25,2.0437,2.155
2024-09-26,2.0787,2.22
2024-09-27,2.1714,2.3475
2024-09-29,2.2534,2.435
2024-09-30,2.1518,2.355
2024-10-08,2.1928,2.38
2024-10-09,2.176,2.3576
2024-10-10,2.1441,2.29
2024-10-11,2.1392,2.3
2024-10-12,2.1441,2.3
2024-10-14,2.1368,2.3126
2024-10-15,2.1254,2.3125
2024-10-16,2.1331,2.328
2024-10-17,2.1084,2.295
2024-10-18,2.1209,2.305
2024-10-21,2.1211,2.3075
2024-10-22,2.1458,2.34
2024-10-23,2.1559,2.355
2024-10-24,2.1661,2.355
2024-10-25,2.1539,2.36
2024-10-28,2.1617,2.38
2024-10-29,2.1598,2.366
2024-10-30,2.1597,2.36
2024-10-31,2.1476,2.335
2024-11-01,2.1406,2.3175
2024-11-04,2.1275,2.305
2024-11-05,2.1106,2.2825
2024-11-06,2.1234,2.29
2024-11-07,2.1115,2.28
2024-11-08,2.1067,2.2775
2024-11-11,2.092,2.2575
2024-11-12,2.0729,2.236
2024-11-13,2.0876,2.26
2024-11-14,2.0808,2.261
2024-11-15,2.0948,2.2825
2024-11-18,2.1117,2.3175
2024-11-19,2.0947,2.286
2024-11-20,2.1025,2.305
2024-11-21,2.0843,2.2751
2024-11-22,2.0832,2.265
2024-11-25,2.0682,2.241
2024-11-26,2.0657,2.245
2024-11-27,2.0553,2.25
2024-11-28,2.0304,2.218
2024-11-29,2.0206,2.2025
2024-12-02,1.981,2.17
2024-12-03,1.9886,2.1675
2024-12-04,1.9612,2.1375
2024-12-05,1.9462,2.1425
2024-12-06,1.9539,2.1585
2024-12-09,1.9168,2.1151
2024-12-10,1.8468,2.0551
2024-12-11,1.8218,2.0401
2024-12-12,1.8172,2.043
2024-12-13,1.7771,2.005
2024-12-16,1.7215,1.9526
2024-12-17,1.7237,1.9591
2024-12-18,1.7564,1.9961
2024-12-19,1.7417,1.9926
2024-12-20,1.7018,1.9526
2024-12-23,1.7019,1.9526
2024-12-24,1.7166,1.9926
2024-12-25,1.7365,2.007
2024-12-26,1.7122,1.9701
2024-12-27,1.6929,1.9476
2024-12-30,1.7128,1.9476
2024-12-31,1.6752,1.9121
2025-01-02,1.6077,1.8397
2025-01-03,1.6041,1.8501
2025-01-06,1.5966,1.8327
2025-01-07,1.6093,1.8602
2025-01-08,1.6069,1.8702
2025-01-09,1.6368,1.8932
2025-01-10,1.6338,1.8752
2025-01-13,1.6592,1.9051
2025-01-14,1.6446,1.8652
2025-01-15,1.633,1.8602
2025-01-16,1.6394,1.8677
2025-01-17,1.6593,1.915
