date,A,B,spread_B
2024-08-19,0.03637196985129354,0.03749227282093551,-0.0011203029696419675
2024-08-20,0.03642019377868434,0.03805291226602531,-0.0016327184873409645
2024-08-21,0.036810638078548605,0.03876224968044312,-0.0019516116018945123
2024-08-22,0.03660686827268068,0.03789835450947719,-0.0012914862367965144
2024-08-23,0.03632387346149934,0.03769031589849819,-0.0013664424369988493
2024-08-26,0.03651329243353783,0.037811720698254364,-0.0012984282647165307
2024-08-27,0.03652449626674849,0.037870746175460504,-0.001346249908712016
2024-08-28,0.03671601891836315,0.037776393646838984,-0.001060374728475831
2024-08-29,0.036928645294725955,0.03806087229369313,-0.001132226998967173
2024-08-30,0.03704741155721548,0.03832543443917852,-0.001278022881963041
2024-09-02,0.03675002572810538,0.037890462307371926,-0.001140436579266546
2024-09-03,0.03694774961200207,0.03812866722548198,-0.0011809176134799093
2024-09-04,0.036909560723514215,0.03864698385726423,-0.001737423133750013
2024-09-05,0.03673490381647979,0.03838607594936709,-0.0016511721328872977
2024-09-06,0.036546924572715175,0.03812067881835324,-0.001573754245638062
2024-09-09,0.036546924572715175,0.037941820456678134,-0.0013948958839629585
2024-09-10,0.03675380815150268,0.03810072243744111,-0.0013469142859384303
2024-09-11,0.03693246457751577,0.03837393229990509,-0.0014414677223893238
2024-09-12,0.03706279190451479,0.03864698385726423,-0.0015841919527494405
2024-09-13,0.03700134701067247,0.038965628011564404,-0.0019642810008919376
2024-09-18,0.03691719218443089,0.03912061922167276,-0.00220342703724187
2024-09-19,0.03785244859020564,0.039234501347708894,-0.0013820527575032562
2024-09-20,0.03854290339989207,0.039272609540254695,-0.0007297061403626279
2024-09-23,0.03842677283977187,0.03928957028719499,-0.0008627974474231248
2024-09-24,0.0380541346973572,0.038982324584895554,-0.0009281898875383512
2024-09-25,0.0377125356426233,0.03852424306584798,-0.0008117074232246793
2024-09-26,0.03738484087102178,0.03791019897906032,-0.00052535810803854
2024-09-27,0.037514444794621286,0.038507936507936505,-0.0009934917133152185
2024-09-30,0.038110992529348985,0.03909960244976899,-0.0009886099204200055
2024-10-08,0.03856371490280777,0.03962325783972125,-0.001059542936913481
2024-10-09,0.039134246575342466,0.04024552090245521,-0.001111274327112742
2024-10-10,0.0389124986378991,0.04045580878265703,-0.001543310144757934
2024-10-11,0.03874782986111111,0.03953286257468767,-0.000785032713576557
2024-10-14,0.03915999561355413,0.03972273769239166,-0.0005627420788375317
2024-10-15,0.03970866229289447,0.040161130118088514,-0.0004524678251940431
2024-10-16,0.0400022403943094,0.04029007971656333,-0.00028783932225392994
2024-10-17,0.039766146993318485,0.039866345311130584,-0.00010019831781209881
2024-10-18,0.03938892565629826,0.03972707423580786,-0.0003381485795096034
2024-10-21,0.039380238200264664,0.039883822884699695,-0.0005035846844350308
2024-10-22,0.039362874779541444,0.04000219852698692,-0.0006393237474454777
2024-10-23,0.03928690714762859,0.04006385555433227,-0.0007769484067036772
2024-10-24,0.03960437710437711,0.04013898080741231,-0.000534603703035201
2024-10-25,0.03947147651006711,0.0401522674611056,-0.0006807909510384846
2024-10-28,0.0396644747934581,0.04007267922035018,-0.00040820442689207953
2024-10-29,0.03960437710437711,0.04013455387669571,-0.0005301767723186052
2024-10-30,0.03977176669484362,0.040267787982737634,-0.0004960212878940135
2024-10-31,0.03975160527205137,0.0404918215199733,-0.0007402162479219279
2024-11-01,0.03977176669484362,0.04068194522079374,-0.0009101785259501213
2024-11-04,0.039637742207245155,0.0405008347245409,-0.0008630925172957438
2024-11-05,0.03934275441090392,0.04048281232617644,-0.0011400579152725174
2024-11-06,0.03916590360442854,0.04054596100278551,-0.0013800573983569764
2024-11-07,0.038919679047067585,0.040577609277430864,-0.001657930230363279
2024-11-08,0.03849615447553592,0.04025887819449054,-0.0017627237189546188
2024-11-11,0.03781850333574471,0.0393745942436702,-0.0015560909079254878
2024-11-12,0.03767918635380796,0.03857324570701717,-0.0008940593532092145
2024-11-13,0.037742660035296006,0.038536482050195914,-0.0007938220148999073
2024-11-14,0.037867203219315894,0.03907860824742268,-0.0012114050281067865
2024-11-15,0.038026347692556375,0.039315038893690576,-0.001288691201134201
2024-11-18,0.037727527864645984,0.03944715447154472,-0.0017196266068987345
2024-11-19,0.03793742944686341,0.039567250190279436,-0.0016298207434160272
2024-11-20,0.037964980230775436,0.03959308018713959,-0.0016280999563641554
2024-11-21,0.03804787320071163,0.03957155284906481,-0.0015236796483531767
2024-11-22,0.03794048867026853,0.03947711000216967,-0.0015366213319011404
2024-11-25,0.03802942127384416,0.03944715447154472,-0.0014177331977005547
2024-11-26,0.03792825473599355,0.03948567708333333,-0.0015574223473397777
2024-11-27,0.037882447665056364,0.03939164321281663,-0.0015091955477602656
2024-11-28,0.0379129734085415,0.03934479403178722,-0.0014318206232457192
2024-11-29,0.037900757209602065,0.03914586919104991,-0.0012451119814478467
2024-12-02,0.03786415580234991,0.039066022544283416,-0.0012018667419335036
2024-12-03,0.03769427976285852,0.03876224968044312,-0.0010679699175846005
2024-12-04,0.03777296082209377,0.038791173648864724,-0.0010182128267709548
2024-12-05,0.037785094763893357,0.03886989959410382,-0.0010848048302104646
2024-12-06,0.03780938604950177,0.03886574815764178,-0.001056362108140009
